data	close
01-07-2013	4.08
01-07-2013	5.0
01-06-2013	4.56
01-05-2013	5.0
01-05-2013	4.95
01-05-2013	4.13
01-05-2013	4.7
01-04-2013	4.98
01-04-2013	4.7
01-03-2013	4.83
01-01-2013	4.75
12-29-2012	4.6
12-24-2012	5.0
12-23-2012	4.43
12-21-2012	5.0
12-17-2012	4.6
12-17-2012	4.98
12-15-2012	4.8
12-15-2012	4.98
12-14-2012	4.95
12-13-2012	4.33
12-13-2012	4.65
12-13-2012	4.85
12-10-2012	4.08
12-08-2012	4.9
12-06-2012	4.75
12-02-2012	4.6
12-02-2012	5.0
11-30-2012	5.0
11-29-2012	4.88
11-28-2012	4.85
11-25-2012	4.53
11-25-2012	4.93
11-21-2012	5.0
11-21-2012	4.7
11-20-2012	4.53
11-16-2012	4.68
11-15-2012	4.55
11-14-2012	4.63
11-13-2012	4.78
11-10-2012	4.25
11-10-2012	5.0
11-08-2012	4.78
11-06-2012	4.83
11-04-2012	4.4
11-04-2012	5.0
11-03-2012	5.0
11-02-2012	4.6
11-01-2012	5.0
10-31-2012	4.69
10-28-2012	4.7
10-27-2012	4.63
10-27-2012	4.73
10-24-2012	4.78
10-22-2012	5.0
10-22-2012	5.0
10-20-2012	4.73
10-20-2012	4.1
10-19-2012	3.78
10-18-2012	4.85
10-17-2012	5.0
10-16-2012	4.68
10-16-2012	5.0
10-15-2012	4.73
10-13-2012	4.48
10-13-2012	4.95
10-12-2012	4.98
10-08-2012	4.91
10-07-2012	5.0
10-05-2012	4.48
10-04-2012	4.96
10-03-2012	4.75
10-02-2012	4.91
10-02-2012	4.7
09-30-2012	4.75
09-28-2012	4.79
09-24-2012	4.83
09-23-2012	4.35
09-23-2012	4.08
09-23-2012	4.93
09-22-2012	4.93
09-21-2012	5.0
09-21-2012	5.0
09-21-2012	4.93
09-18-2012	4.98
09-18-2012	4.5
09-17-2012	4.98
09-17-2012	4.65
09-17-2012	4.98
09-16-2012	5.0
09-15-2012	4.93
09-11-2012	4.98
09-09-2012	4.55
09-08-2012	4.08
09-08-2012	4.53
09-07-2012	4.98
09-07-2012	4.98
09-06-2012	4.58
09-06-2012	4.95
09-04-2012	4.4
09-03-2012	4.2
